Feature,FAKE precision,FAKE recall,FAKE f1-score,REAL precision,REAL recall,REAL f1-score,accuracy,macro avg precision,macro avg recall,macro avg f1-score,weighted avg precision,weighted avg recall,weighted avg f1-score
{'s1': True},0.5585737540481953,0.5087100045846974,0.5321959679609761,0.6459975418981447,0.6905607808822042,0.6673304208688771,0.6114856421963234,0.60228564797317,0.5996353927334509,0.5997631944149265,0.6086076032927525,0.6114856421963234,0.6088764055341116
{'s2': True},0.5821910766155959,0.524564165959643,0.5516125795922658,0.6598533108631108,0.7102740221719891,0.683947960859333,0.6295596539709241,0.6210221937393534,0.6174190940658161,0.6177802702257994,0.6267027016574475,0.6295596539709241,0.6267283039191064
{'s3': True},0.5722270438751765,0.5226963790650709,0.5461023525444179,0.6555505682984002,0.6995165854904122,0.6766388970729235,0.6225964195602547,0.6138888060867885,0.6111064822777416,0.6113706248086705,0.6199650876793247,0.6225964195602547,0.6201783568742367
{'s4': True},0.5607684368009577,0.5166767082337377,0.5375873025555709,0.649181820130766,0.6886794908021525,0.6681743509073957,0.6139342785053465,0.6049751284658617,0.6026780995179453,0.6028808267314835,0.6113765790220097,0.6139342785053465,0.611730124199502
{'s5': True},0.5619719693914803,0.5143232306696116,0.5367494359535152,0.6489664726750496,0.6913481192890676,0.6692488081105561,0.6144220833833953,0.605469221033265,0.6028356749793395,0.6029991220320357,0.6117927686714685,0.6144220833833953,0.6119809937894459
{'s6': True},0.5844772784647345,0.5423075602404485,0.5622570874770367,0.6662490156316183,0.7034317700493521,0.6840947090678424,0.6333413432656495,0.6253631470481765,0.6228696651449003,0.6231758982724397,0.6313415597424908,0.6333413432656495,0.6314207121389058
{'s7': True},0.5942684135053476,0.5505698074779319,0.5712341145569864,0.672586485305246,0.710644406150669,0.6908560201913503,0.6411534302535145,0.6334274494052967,0.6306071068143004,0.6310450673741683,0.639182020122603,0.6411534302535145,0.6392197145365078
{'s8': True},0.5837764474611506,0.5417512154022092,0.5614828953481749,0.6657688257565473,0.7027079835055335,0.6834082789384843,0.6326168448876608,0.624772636608849,0.6222295994538714,0.6224455871433296,0.6308024570060782,0.6326168448876608,0.6306761333130585
{'s9': True},0.5802927509779943,0.5455442648107106,0.5620097302296679,0.6662473245774447,0.6970138010604929,0.6810394576537913,0.6313708999158958,0.6232700377777195,0.6212790329356017,0.6215245939417295,0.629543211133357,0.6313708999158958,0.62972606955002
{'s10': True},0.5786039092299565,0.5173317833470547,0.5460941997994097,0.6562290295615609,0.7097889972090099,0.6818428056030881,0.626262165084705,0.6174164693957587,0.6135603902780324,0.6139685027012488,0.6230769641078859,0.626262165084705,0.623193670810786
